epoch,train/accuracy,train/loss,train/time_mean,train/time_std,valid/accuracy,valid/loss,valid/time_mean,valid/time_std
1,0.4707,1.444539639174938,0.001281878682784736,0.00038531880012784706,0.589,1.1397635641694068,0.0009442029637284577,0.00016707569884273925
2,0.63498,1.0211701523065566,0.001216682018712163,0.00012382599661998894,0.6543,0.9883116608858109,0.0009975219727493823,0.00020861000088805896
3,0.71114,0.8194485528171063,0.0011780077954754234,5.195145052222955e-05,0.7261,0.7915894098579883,0.0009499382879585027,0.00017914117001244817
4,0.7564,0.7014431262612343,0.0012280698539689184,0.0001394528947117664,0.7356,0.7551287212967872,0.0009875059616751968,0.00019737456682851964
5,0.78354,0.6200435004532338,0.0012125427778810263,0.00011532992582804138,0.7806,0.6458817382156848,0.0009518739650957286,0.00019396882832676244
6,0.80774,0.5522080216556787,0.0011855212985537947,8.61538202822152e-05,0.7888,0.6075845676660537,0.0010335835977457464,0.00022583742003131797
7,0.82792,0.4963031829148531,0.001233490111771971,0.00015566320745494177,0.7823,0.6387992592155933,0.0009661578689701856,0.0002029594688287361
8,0.84354,0.4485844143480062,0.0012256980561651289,0.00013216924052704968,0.8026,0.5778880971670151,0.0009741046139970422,0.0002016377637711773
9,0.86,0.4035282296836376,0.001279789007268846,0.00024155972900337692,0.8094,0.559961101487279,0.0009255448775365949,0.00015240406996157101
10,0.87274,0.3672671387344599,0.0012011060635559261,9.338968222706805e-05,0.815,0.5721263577789069,0.001188034911174327,0.00022490188423354184
11,0.8856,0.3339010958224535,0.0013306156764738262,0.00023135373565134806,0.8168,0.5737758379429578,0.0011571016674861313,0.00023526629528519748
12,0.89724,0.2979537068791687,0.0011921141385100782,9.514111821719348e-05,0.8165,0.5891364807635546,0.001018643497955054,0.00022261561264762172
13,0.90362,0.27513718355074523,0.0012308473042212426,0.00015243005210923436,0.8074,0.6203186041861772,0.0010904911649413406,0.00022542693848236244
14,0.91488,0.24592804975807667,0.0011993319988250733,0.00011004585016940388,0.815,0.6025422563403845,0.001295663316268474,0.0001279408860540709
15,0.92312,0.22062653852254152,0.0012032797392457723,9.286857919098507e-05,0.8103,0.6332542584091425,0.0009034400410018862,0.00013277262245978976
16,0.928,0.2057880722247064,0.0012113414197228848,0.00013435406392230085,0.8119,0.6395579758286476,0.0009074394823983311,0.00014060334426675087
17,0.933,0.19061342228017747,0.0012161001046188176,0.00013563289052403812,0.8185,0.6245097902417183,0.0010916078090667724,0.0002450596009927553
18,0.9414,0.1702525935601443,0.0013407414332032204,0.00023290602271073472,0.8223,0.634806911572814,0.0009089243784546852,0.0001356236845524832
19,0.94428,0.15979502077028154,0.001282446229364723,0.00020215886577975615,0.8164,0.6780846016854047,0.0010366351949051022,0.0002208473293287283
20,0.9496,0.1432765494743362,0.0011876312540844082,5.8534902885227214e-05,0.8158,0.7019280470907688,0.0010580192878842354,0.0002308113250003971
21,0.95206,0.1396843296876177,0.0011869212528690695,8.496487771409083e-05,0.817,0.6682978767156601,0.0009481018385849893,0.00017872160213707106
22,0.9544,0.1319204670684412,0.0012071128012612461,0.00012088221407377837,0.823,0.6633424255251884,0.0010027934983372689,0.0002120728853329362
23,0.95742,0.12303419110551476,0.0012510296390391886,0.00016700325812920338,0.8193,0.6949081293866038,0.0009732627170160413,0.00018656348806848482
24,0.96066,0.11373268419876695,0.0012665729830041528,0.0001994299610088294,0.8159,0.7186039219796657,0.0011966227367520331,0.00020900797110761518
25,0.9615,0.11064317657239735,0.0012361391605809331,0.00016440028738523693,0.8128,0.7390125259384512,0.0009398545767180621,0.0001729678330983562
26,0.96496,0.10201663855742663,0.001178505144547671,5.032377915080391e-05,0.8159,0.7743127911537886,0.0010768148768693208,0.0002362817256700529
27,0.9665,0.09879078973736614,0.0012208021711558104,0.00012395837634418706,0.816,0.7810079143941402,0.000993599221110344,0.00020534760244306173
28,0.9649,0.1012654049769044,0.0012202145396731795,0.0001233578341609585,0.8184,0.7239162092655897,0.0010391748021356762,0.0002267124791879666
29,0.9673,0.0940812140731141,0.0012311444701626896,0.00013997655301274862,0.8159,0.7308872110396624,0.0009123969404026866,0.00010027030452437696
30,0.9704,0.08520617282437161,0.0011971928873099388,0.0001015294799080365,0.8181,0.7598060708492994,0.0009074951685033738,0.00013357024239301016
31,0.98788,0.036807770885236096,0.0012504415051080287,0.0001817901851408894,0.8383,0.6929046537913383,0.001058565303683281,0.0002347561305273132
32,0.99412,0.021264020764036103,0.0011907743206247688,4.9962504961098936e-05,0.8396,0.7074960640072823,0.0009609141247346998,0.0001867669790174393
33,0.9964,0.013817492484929972,0.0011828712080605328,6.229101380155138e-05,0.8389,0.7411287879198789,0.0008959006471559405,0.00012548079657771015
34,0.9972,0.01109006753162248,0.0012474325126968324,0.00017498535375937014,0.84,0.7674041821807623,0.0009942373284138738,0.00020483021843448028
35,0.9982,0.007551746131051914,0.0011915281368419528,6.282810719268598e-05,0.841,0.7832582006603479,0.0010015370533801614,0.0002116889928881895
36,0.9984,0.00679200490063522,0.00118235298153013,8.19973067195142e-05,0.8406,0.8163943910971284,0.0010135324602015315,0.00021305342332842247
37,0.9985,0.005828091913397657,0.0012007353310473264,8.824751971947e-05,0.8413,0.8356052916683256,0.0009456561156548559,0.00017117213912437997
38,0.99908,0.0044865832785289965,0.0013320165118202566,0.00022853836008967108,0.8395,0.8503568803239614,0.0008902263944037259,9.817644030815184e-05
39,0.9992,0.0037673620864661643,0.0012126013482920825,0.00014534417069470338,0.84,0.8888635035417974,0.0010412656399421394,0.0002304159616764079
