epoch,train/accuracy,train/loss,train/time_mean,train/time_std,valid/accuracy,valid/loss,valid/time_mean,valid/time_std
1,0.9444,0.18099249818523724,0.00133500019198594,0.0003403399613047416,0.9801,0.06873317860281125,0.0009776215751401741,3.756143800223687e-05
2,0.9785,0.0749036379079024,0.0013401390981899264,0.00017407645008145643,0.9881,0.036957950994800835,0.0009865769075963217,4.45163436597814e-05
3,0.98335,0.0593753845055898,0.0013507396869400206,0.00018340413753999428,0.9906,0.02961303767400047,0.0009945244439553988,5.024929089549823e-05
4,0.9867833333333333,0.04543415619134903,0.0012930795781547204,2.3922478718314714e-05,0.9866,0.045745138685924176,0.0010619453035857374,0.00021756346703971156
5,0.9886166666666667,0.038192070780197776,0.0013223999989645865,0.00013562195637205682,0.9872,0.04269960309607914,0.0009914742874161239,4.437500287750439e-05
6,0.98985,0.034892655797799425,0.0013663999673367167,0.00019883914948917063,0.9868,0.04633140214049397,0.0010437067125422938,0.00020113008491051665
7,0.9915833333333334,0.027635106098651885,0.0013216123242435667,0.00011026052335451006,0.9932,0.02542961536409756,0.0009982236842567193,0.00011246070498480098
8,0.9922166666666666,0.025349427169561387,0.0013536741306772455,0.00018985288108718467,0.9924,0.02514245130193119,0.0009888756932877078,4.430084298124296e-05
9,0.9923166666666666,0.024216818543275197,0.001324026228254661,0.0001425444127350415,0.9909,0.036551490759316345,0.0009940673355911353,0.00010584555700656317
10,0.9939333333333333,0.020230151947339375,0.001309725494015341,2.0254970368118035e-05,0.9932,0.024051588588057997,0.0009723513101405366,3.725596095268859e-05
11,0.9944666666666667,0.018356864500045776,0.001366624807465511,0.00020271801033132012,0.9866,0.06621292702401407,0.001086102591111725,0.00022559515679080125
12,0.9941666666666666,0.018996127982934315,0.0013199534959780672,9.719959686755855e-05,0.9914,0.027106884402779346,0.00113983875713419,0.00025585746652203196
13,0.9950666666666667,0.016097236820062002,0.0013572531840686376,0.0001880602476533088,0.9917,0.03079965398810542,0.0009927589268661282,5.637154313012163e-05
14,0.9954333333333333,0.014273326428731282,0.001330911085191959,0.00015383582404258274,0.9918,0.028748358340975576,0.0009902832460940813,0.00010021684780031398
15,0.9954333333333333,0.01518294230500857,0.0013198861378516692,0.00011055574767833221,0.9925,0.022866618352385754,0.001034682147187581,0.00016211119135421033
16,0.99555,0.013853555786609649,0.0013153638969835204,8.308454343038918e-05,0.9926,0.02876128125400208,0.0010049517986655888,0.00014073216558397098
17,0.9965333333333334,0.01127074825366338,0.0013447694234938051,0.00016200635796390642,0.9929,0.031529432644668856,0.0011069763225353376,0.000267838588118836
18,0.9956833333333334,0.013085004432996114,0.0013972344582434744,0.00023863367234398797,0.9926,0.02713510958245768,0.0009705428085068595,4.710727999978544e-05
